Census Tract,Town,Distressed Tract,CLM $ Collected ,% of Total CLM $ Collected ,Incentive Disbursements,% of Total Incentive Disbursements,Residential CLM $ Collected,% of Total Residential CLM $ Collected,Residential Incentive Disbursements,% of Total Residential Incentive Disbursements ,C&I CLM $ Collected,% of Total C&I CLM $ Collected,C&I Incentive Disbursements,% of TotalC&I Incentive Disbursements ,Census Tract,
9001073200,Bridgeport,No,"$29,104.19 ",0.001012403,"$48,361.99 ",0.002504907,"$26,291.56 ",0.09%,"$1,115.82 ",0.01%,"$2,812.64 ",0.01%,"$47,246.17 ",0.25%,09001073200,
9001073300,Bridgeport,Yes,"$64,396.80 ",0.002240072,"$10,575.03 ",0.000547733,"$52,974.49 ",0.18%,"$10,575.03 ",0.06%,"$11,422.31 ",0.04%,$0.00 ,0.00%,09001073300,
9001073400,Bridgeport,Yes,"$94,327.58 ",0.003281228,"$32,327.42 ",0.001674397,"$59,292.49 ",0.21%,"$14,789.42 ",0.08%,"$35,035.09 ",0.12%,"$17,538.00 ",0.09%,09001073400,
9001073500,Bridgeport,Yes,"$54,961.01 ",0.001911844,"$1,243.30 ",0.000064397,"$42,167.81 ",0.15%,"$1,118.30 ",0.01%,"$12,793.20 ",0.05%,$125.00 ,0.00%,09001073500,
9001073600,Bridgeport,Yes,"$34,394.14 ",0.001196416,"$9,619.14 ",0.000498223,"$26,093.17 ",0.09%,"$3,328.14 ",0.02%,"$8,300.97 ",0.03%,"$6,291.00 ",0.03%,09001073600,
9001073700,Bridgeport,Yes,"$91,330.52 ",0.003176974,"$4,873.22 ",0.000252408,"$68,866.60 ",0.24%,"$3,363.22 ",0.02%,"$22,463.92 ",0.08%,"$1,510.00 ",0.01%,09001073700,
9001073800,Bridgeport,Yes,"$45,410.08 ",0.00157961,$965.00 ,0.000049982,"$27,228.12 ",0.10%,$175.00 ,0.00%,"$18,181.96 ",0.06%,$790.00 ,0.00%,09001073800,
9001073900,Bridgeport,No,"$55,343.11 ",0.001925135,"$1,580.33 ",0.000081853,"$38,825.15 ",0.14%,"$1,580.33 ",0.01%,"$16,517.96 ",0.06%,$0.00 ,0.00%,09001073900,
9001074000,Bridgeport,Yes,"$50,013.56 ",0.001739745,"$56,369.69 ",0.002919666,"$29,430.35 ",0.10%,"$56,159.69 ",0.29%,"$20,583.22 ",0.07%,$210.00 ,0.00%,09001074000,
9001074300,Bridgeport,Yes,"$101,483.44 ",0.003530148,"$35,009.89 ",0.001813336,"$56,852.04 ",0.20%,"$9,729.89 ",0.05%,"$44,631.40 ",0.16%,"$25,280.00 ",0.13%,09001074300,
9001074400,Bridgeport,Yes,"$94,374.47 ",0.003282859,"$85,911.86 ",0.004449801,"$59,505.53 ",0.21%,"$14,713.86 ",0.08%,"$34,868.94 ",0.12%,"$71,198.00 ",0.37%,09001074400,
9001080100,Bridgeport,No,$176.65 ,0.000006145,$0.00 ,0,$173.04 ,0.00%,$0.00 ,0.00%,$3.61 ,0.00%,$0.00 ,0.00%,09001080100,
9001080500,Bridgeport,No,$1.06 ,0.000000037,$35.00 ,0.000001813,$0.00 ,0.00%,$35.00 ,0.00%,$1.06 ,0.00%,$0.00 ,0.00%,09001080500,
9001081000,Bridgeport,No,$104.81 ,0.000003646,$175.00 ,0.000009064,$87.97 ,0.00%,$175.00 ,0.00%,$16.84 ,0.00%,$0.00 ,0.00%,09001081000,
9001081200,Bridgeport,No,$61.34 ,0.000002134,$35.00 ,0.000001813,$61.34 ,0.00%,$35.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001081200,
9001090200,Bridgeport,No,$50.92 ,0.000001771,$315.00 ,0.000016315,$0.00 ,0.00%,$315.00 ,0.00%,$50.92 ,0.00%,$0.00 ,0.00%,09001090200,
9001090300,Bridgeport,No,$86.68 ,0.000003015,$105.00 ,0.000005438,$86.68 ,0.00%,$105.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001090300,
9001090400,Bridgeport,No,$9.52 ,0.000000331,$210.00 ,0.000010877,$0.00 ,0.00%,$210.00 ,0.00%,$9.52 ,0.00%,$0.00 ,0.00%,09001090400,
9001090500,Bridgeport,No,$54.14 ,0.000001883,$175.00 ,0.000009064,$52.97 ,0.00%,$175.00 ,0.00%,$1.17 ,0.00%,$0.00 ,0.00%,09001090500,
9001257200,Bridgeport,No,"$111,387.71 ",0.003874673,"$31,230.36 ",0.001617575,"$50,841.61 ",0.18%,"$3,756.49 ",0.02%,"$60,546.10 ",0.21%,"$27,473.87 ",0.14%,09001257200,
9009120100,Derby,No,"$155,912.33 ",0.005423482,"$108,985.16 ",0.005644882,"$125,581.78 ",0.44%,"$45,160.16 ",0.23%,"$30,330.55 ",0.11%,"$63,825.00 ",0.33%,09009120100,
9009120200,Derby,No,"$164,161.64 ",0.005710438,"$193,404.01 ",0.010017353,"$105,164.71 ",0.37%,"$12,573.57 ",0.07%,"$58,996.94 ",0.21%,"$180,830.44 ",0.94%,09009120200,
9009125100,Derby,No,$237.54 ,0.000008263,$0.00 ,0,$211.11 ,0.00%,$0.00 ,0.00%,$26.43 ,0.00%,$0.00 ,0.00%,09009125100,
9009157300,Derby,No,"$15,917.40 ",0.000553694,"$2,047.00 ",0.000106024,"$7,527.43 ",0.03%,$135.00 ,0.00%,"$8,389.97 ",0.03%,"$1,912.00 ",0.01%,09009157300,
9009142100,East  Haven,Yes,$0.00 ,0,"$1,367.99 ",0.000070855,$0.00 ,0.00%,"$1,367.99 ",0.01%,$0.00 ,0.00%,$0.00 ,0.00%,09009142100,
9009142601,East  Haven,No,$411.93 ,0.000014329,$285.00 ,0.000014762,$411.93 ,0.00%,$285.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009142601,
9009142603,East  Haven,Yes,$103.87 ,0.000003613,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,$103.87 ,0.00%,$0.00 ,0.00%,09009142603,
9009142604,East  Haven,No,$531.45 ,0.000018487,"$1,067.22 ",0.000055277,$531.45 ,0.00%,"$1,067.22 ",0.01%,$0.00 ,0.00%,$0.00 ,0.00%,09009142604,
9009142700,East  Haven,No,"$1,146.52 ",0.000039882,"$1,605.00 ",0.000083131,"$1,146.52 ",0.00%,"$1,605.00 ",0.01%,$0.00 ,0.00%,$0.00 ,0.00%,09009142700,
9009142800,East  Haven,No,$355.74 ,0.000012375,$427.43 ,0.000022139,$355.74 ,0.00%,$427.43 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009142800,
9009155000,East  Haven,No,$180.18 ,0.000006268,$140.00 ,0.000007251,$0.00 ,0.00%,$140.00 ,0.00%,$180.18 ,0.00%,$0.00 ,0.00%,09009155000,
9009155100,East  Haven,Yes,$67.27 ,0.00000234,$35.00 ,0.000001813,$67.27 ,0.00%,$35.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009155100,
9009167300,East  Haven,No,$641.44 ,0.000022313,$840.00 ,0.000043508,$641.44 ,0.00%,$840.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009167300,
9009180100,East  Haven,No,"$153,841.88 ",0.00535146,"$56,692.13 ",0.002936367,"$126,740.60 ",0.44%,"$25,425.13 ",0.13%,"$27,101.27 ",0.09%,"$31,267.00 ",0.16%,09009180100,
9009180200,East  Haven,No,"$145,772.36 ",0.005070759,"$68,523.74 ",0.003549184,"$103,538.80 ",0.36%,"$15,445.14 ",0.08%,"$42,233.57 ",0.15%,"$53,078.60 ",0.28%,09009180200,
9009180300,East  Haven,No,"$64,981.36 ",0.002260406,"$85,632.20 ",0.004435316,"$43,063.85 ",0.15%,"$3,952.95 ",0.02%,"$21,917.51 ",0.08%,"$81,679.25 ",0.42%,09009180300,
9009180400,East  Haven,No,"$59,437.42 ",0.002067558,"$97,567.20 ",0.005053489,"$46,142.21 ",0.16%,"$6,162.20 ",0.03%,"$13,295.21 ",0.05%,"$91,405.00 ",0.47%,09009180400,
9009180500,East  Haven,No,"$105,944.30 ",0.003685321,"$30,946.61 ",0.001602878,"$90,456.43 ",0.32%,"$30,091.61 ",0.16%,"$15,487.88 ",0.05%,$855.00 ,0.00%,09009180500,
